name,industry
Aquaponica,Technology
Aquaponica,Food
Aquaponica,Agriculture
Argineering ,Manufacturing
Argineering ,Education
Argineering ,Technology
Argineering ,Marketing
Asknative,Social
Asknative,Mobile
Asknative,Lifestyle
Asknative,Content
Asknative,Tourism
Asknative,Marketing
Asknative,Mobile 
Asknative,E-commerce
Asknative,Web
Asknative,Travel
Asknative,Sharing Economy
Aya Games,Gaming
Aya Games,Mobile 
Azarir,Professional Services
Bees365,Technology
Bees365,Software
Bees365,Web
Benaa,Construction
BoonMarks,E-commerce
BoonMarks,Web
BoonMarks,Child Care
Buildink,Housing
Buildink,Construction
Buildink,Hardware
Buildink,Manufacturing
Buildink,3D Printing
Cardswitch,Mobile 
Cardswitch,Finance
Cardswitch,Data
Cardswitch,Technology
Careerise,Social Network
Careerise,Recruitment
Careerise,Web
Careerise,Technology
Carsurance,Finance
Carsurance,E-commerce
Carsurance,Marketing
Carsurance,Auto
Castspace,TV
Castspace,Film Production
Castspace,Social Network
ChqMate ,Mobile
ChqMate ,Restaurants
ChqMate ,Payments
ChqMate ,PoS
Cirqy,Social Network
Cirqy,Web
Cirqy,E-commerce
Cirqy,Apparel
CloudPress,Marketing
Codly,Mobile 
Codly,Technology
Codly,Design
CollectionAir,Art 
CollectionAir,E-commerce
CollectionAir,Marketing
Conative Labs ,Manufacturing
Conative Labs ,Fish Farming
Coterique,E-commerce
Coterique,Fashion
Crowdsway,TV
Crowdsway,Media
Crowdsway,Web
Crowdsway,Marketing
Crowdsway,Crowdsourcing
Crowdsway,Creative
Dabchy,E-commerce
Dabchy,Fashion
Dabchy,Web
Dabchy,Mobile 
Dabchy,Crowdsourcing
Dabchy,Social
Dabchy,Marketing
Dashroad,Data
Dedicated Developed Company,Sustainability
Dedicated Developed Company,Education
Deleor,Logistics
E-Cho,Aviation
E-Cho,Design
E-Cho,Software
E-Cho,Data
edume,Education
edume,Technology
EHF,Finance
EHF,Loans
EHF,Crowdsourcing
Ejadah,Technology
Ekshef,Health
Ekshef,Crowdsourcing
Ekshef,Content
Ekshef,Social Network
Ekshef,Web
Ella,Content
Elwafeyat,Social Network
ennota,Finance
Entej,Web
Entej,Social Network
Eshtery,E-commerce
Eshtery,Technology
Eshtery,Marketing
Eshtery,Web
Estickery,Design
Estickery,E-commerce
Estickery,Creative
Estickery,Web
Estickery,Art
F16Apps,Mobile 
F16Apps,Software
F16Apps,Creative
F16Apps,Social Network
Farminal,Technology
Farmtech,Agriculture
FeedSpeed,Mobile 
FeedSpeed,E-commerce
FeedSpeed,Software
FeedSpeed,Design
FeedSpeed,Professional Services
FinConnect,Communication
FinConnect,Banking
FinConnect,Finance
Flip Technologies,Technology
Flip Technologies,Data
Games Bond,Creative
Games Bond,Design
Games Bond,Mobile 
Games Bond,Education
Games Bond,Media
Games Bond,Gaming
GitHelp,Technology
Go Ejaza,Travel
Go Ejaza,Technology
Gorfah,Web
GST,Technology
GST,Agriculture
GST,Software
GST,Mobile 
GST,Data
Harmonica ,Data
Harmonica ,Dating
Harmonica ,Mobile 
Heero,Marketing
Honest Granola,Health
Hub43,Social Network
Hub43,Gaming
Hub43,Web
iboat,Logistics
iboat,Transport
iboat,Mobile 
iboat,Tourism
iCart,E-commerce
iCart,Web
iCart,Marketing
iCart,Technology
Instabug,Software
Instabug,Mobile 
Instabug,Crowdsourcing
Instabug,Cloud
Instabug,Technology
Integreight,Manufacturing
Integreight,Technology
Integreight,Hardware
iRehab,Health
iRehab,Web
iRehab,Education
Irth Cultural Guide,Travel
Irth Cultural Guide,E-commerce
Irth Cultural Guide,Web
Irth Cultural Guide,Education
Irth Cultural Guide,Social
Irth Cultural Guide,Tourism
Irth Cultural Guide,Creative
Jeerah,Real Estate
JumpSuite,Health
JumpSuite,E-commerce
JumpSuite,Marketing
JumpSuite,Web
Jybly,E-commerce
Jybly,Logistics
Kafoo / Anbooba,Logistics
Kafoo / Anbooba,Mobile 
Kanoosh,Mobile 
Kanoosh,Marketing
Khobz,Food
Khobz,Manufacturing
Kikabo Labs,Education
Koretna,Web
Koretna,E-commerce
Koretna,Social Network
Koretna,Sports
LightSense,Telecom
LocName,Web
LocName,Technology
Lululittle,E-commerce
Lululittle,Creative
Lululittle,Art
Lululittle,Education
Maharah,Mobile 
Maharah,E-commerce
Maharah,Professional Services
Maharah,Marketing
Mapture,Technology
Mapture,Mobile 
Marj3 ,Web
Marj3 ,Education
Massyaf ,E-commerce
Massyaf ,Real Estate
Massyaf ,Web
Massyaf ,Hospitality
Massyaf ,Marketing
Meshina,Logistics
Meshina,Technology
Metaphorio,Technology
Metaphorio,Web
Metaphorio,Design
Mntad,Tourism
MoneyFellows,Crowdsourcing
MoneyFellows,Finance
Mother & Child,E-commerce
Mother & Child,Web
Mother & Child,Content
Mother & Child,Education
Mother & Child,Child Care
Mother & Child,Health
myFilmset,Film Production
Nafham,Web
Nafham,Technology
Nafham,Education
Nafham,Content
Nafham,Crowdsourcing
Narrativa,AI
Naviacom,Technology
Naviacom,Transport
Naviacom,Logistics
Naviacom,Security
Naviacom,Manufacturing
Nujeed,Web
Nujeed,Recruitment
OfferHunt,Marketing
Ogra ,Cloud
Ogra ,Transport
Ogra ,Finance
Ogra ,Mobile 
Ogra ,Software
Ohana,Marketing
Ohana,E-commerce
Ohana,Web
Ohana,Beauty & Wellbeing
Ouda w Dar,Hospitality
Ouda w Dar,Acommodation
Ouda w Dar,Rental
Ouda w Dar,Marketing
Ouda w Dar,Real Estate
PenSqr,Marketing
PenSqr,Web
PenSqr,Social Network
Personafier,Content
Personafier,Social Network
Personafier,Marketing
PieRide,Logistics
PieRide,Transport
PieRide,Mobile 
Polisher,Cleaning
Polisher,Mobile 
Polisher,Web
Polisher,Auto
Polisher,Professional Services
Pushbots,Technology
Pushbots,Mobile 
Pushbots,Marketing
Rawy,Education
Rawy,Publishing
Rawy,Web
Recommendator ,Web
Recommendator ,Film
Recommendator ,Video
Reform Studio,Textiles
Reform Studio,Design
Reform Studio,Furniture
Riyash,Furniture
Sakkini,Real Estate
Sakkini,Finance
Save.it,Technology
Save.it,Mobile 
Sawerly,Marketing
Sawerly,Photography
Sawerly,Web
Sawerly,E-commerce
Schedex,Human Resources
Schedex,Mobile
Selsal,Web
Selsal,Weddings
ServiceTime,
Shakl3D,E-commerce
Shakl3D,3D Printing
Shakl3D,Manufacturing
Shakl3D,Hardware
Shakl3D,Web
Simplex,Technology
Simplex,Manufacturing
Simplex,Industrial
Simplex,Design
Skylar,Mobile
smartable,Counseling
smartable,Education
smartable,Psychology
Snapze,Data
Snapze,Social Network
Snapze,Lifestyle
Solarist,Technology
Solarist,Renewables
Solvermine,Recruitment
Solvermine,Web
Solvermine,Crowdsourcing
Sondooq,E-commerce
Sondooq,Logistics
SpicaTech Academy,Education
SpicaTech Academy,Web
SpicaTech Academy,Gaming
StudentCart,Web
StudentCart,Education
StudentCart,Finance
Sunergy,E-commerce
Sunergy,Renewables
Sunergy,Social
Susurrus,Web
Susurrus,Social Network
Susurrus,Marketing
Tabshora,Web
Tabshora,Creative
Tabshora,Cloud
Tagaddod,Manufacturing
Tagaddod,Renewables
Tamreeni,Health
Tamreeni,Social Network
Tamreeni,Web
Tamreeni,Data
Taskty,E-commerce
Taskty,Web
Taskty,Professional Services
Taskty,Marketing
Taskty,Cleaning
Taxi Food,Web
Taxi Food,Logistics
Taxi Food,Food
Taxi Food,Marketing
Taxi Food,Mobile 
TeamReem,Mobile 
TeamReem,Gaming
TeamReem,Software
TelecoSys,Software
TelecoSys,Technology
TelecoSys,Telecom
UnnyHog,Software
UnnyHog,Gaming
UnnyHog,Mobile 
UserTalk ,Technology
UserTalk ,Web
UserTalk ,Marketing
Vanoman,Furniture
Vanoman,Web
Vanoman,E-commerce
Vanoman,Logistics
Vanoman,Marketing
Vanoman,Professional Services
Vynd,Mobile
Wade7,Education
Wade7,E-commerce
Wade7,Creative
Wade7,Web
Warsha+,E-commerce
Warsha+,Web
Warsha+,Marketing
Warsha+,Logistics
Warsha+,Auto
Washmen,Laundry
Washmen,E-commerce
Washmen,Logistics
Washmen,Mobile
Washmen,Cleaning
Washmen,Professional Services
Wattnow,Software
Wattnow,Manufacturing
Wattnow,Technology
XoneBee,Mobile 
XoneBee,Telecom
Yadaweya,E-commerce
Yadaweya,Handicraft
Yadaweya,Marketing
Yadaweya,Web
Yadaweya,Creative
Yadget,Lifestyle
Yadget,Mobile
Yadget,Social Network
Yalla Nsdar,Web
You Positive,Web
Zaagel,Web
Zaagel,Crowdsourcing
Zaagel,Transport
Zaagel,Logistics
Sawerly,Creative
Sawerly,Professional Services
Gorfah,Professional Services
Gorfah,Design
Gorfah,Creative
Gorfah,E-commerce
Gorfah,Interior Design
iCart,Data
iCart,Cloud
UserTalk ,Telecom
PenSqr,Content
Susurrus,Content
Susurrus,Creative
Hub43,Design
Hub43,Creative
Personafier,Data
CloudPress,Web
CloudPress,Content
CloudPress,Technology
Castspace,Film
Elwafeyat,Web
Elwafeyat,Death Care
Snapze,Content
Snapze,Marketing
Snapze,Technology
Dedicated Developed Company,Waste Management
Dedicated Developed Company,Social
Sunergy,Sustainability
Sunergy,Energy
smartable,Creative
smartable,Social
smartable,Gaming
MoneyFellows,Social Network
MoneyFellows,Loans
MoneyFellows,Social
MoneyFellows,Banking
EHF,Banking
EHF,Web
EHF,Social
myFilmset,Film
LightSense,IoT
LightSense,Hardware
LightSense,Cloud
LightSense,Technology
LightSense,Mobile
LightSense,Web
LightSense,Data
Reform Studio,Creative
Reform Studio,Social
Reform Studio,Waste Management
Reform Studio,Sustainability
Reform Studio,Manufacturing
Reform Studio,Handicraft
Farmtech,Waste Management
Farmtech,Sustainability
Farmtech,Social
ennota,Cloud
ennota,Mobile
Deleor,Crowdsourcing
Deleor,E-commerce
Sakkini,Marketing
Sakkini,Professional Services
Dashroad,Hardware
Dashroad,IoT
Dashroad,Technology
Dashroad,Auto
Conative Labs ,Hardware
Conative Labs ,IoT
Conative Labs ,Technology
Conative Labs ,Data
Conative Labs ,Agriculture
Khobz,Hardware
Tagaddod,Energy
Tagaddod,Waste Management
Tagaddod,Social
Tagaddod,Sustainability
Buildink,Technology
Schedex,Data
Kikabo Labs,Creative
Kikabo Labs,Art
Kikabo Labs,Mobile
Kikabo Labs,Technology
E-Cho,Technology
iboat,Rental
iboat,E-commerce
iboat,Web
Kanoosh,Professional Services
Kafoo / Anbooba,E-commerce
Kafoo / Anbooba,Energy
PieRide,Sustainability
Aya Games,Creative
Aya Games,Content
XoneBee,Technology
Harmonica ,Technology
Games Bond,Art
Games Bond,Web
Games Bond,Marketing
UnnyHog,Creative
UnnyHog,Design
TeamReem,Creative
TeamReem,Design
Aya Games,Software
F16Apps,Design
Pushbots,Software Development
Pushbots,Data
Argineering ,Software
Argineering ,Hardware
Argineering ,Creative
Argineering ,Design
Argineering ,Art
edume,Social
edume,Creative
edume,Mobile
edume,Software
Go Ejaza,Tourism
Go Ejaza,Marketing
Go Ejaza,Web
GitHelp,Professional Services
GitHelp,Software Development
GitHelp,Web
GitHelp,Education
Ejadah,Software
Farminal,Agriculture
Farminal,AI
Farminal,Software
Aquaponica,Social
Aquaponica,Sustainability
Flip Technologies,IoT
Flip Technologies,Hardware
Flip Technologies,AI
Flip Technologies,Sports
Integreight,Mobile
Integreight,IoT
Integreight,AI
Simplex,Hardware
TelecoSys,Design
Instabug,Software Development
Tabshora,Design
Schedex,AI
Careerise,AI
Tamreeni,Lifestyle
Tamreeni,Marketing
Bees365,Cloud
Bees365,Professional Services
Metaphorio,Creative
Metaphorio,Cloud
Metaphorio,Video
Metaphorio,Developer Tools
Instabug,Developer Tools
GitHelp,Developer Tools
Pushbots,Developer Tools
Pushbots,AI
Integreight,Developer Tools
Argineering ,Developer Tools
LocName,Logistics
LocName,Mobile
Solvermine,Marketing
Solvermine,Professional Services
Solvermine,Social
Solvermine,Creativity
Crowdsway,Content
Crowdsway,Video
Crowdsway,Professional Services
Crowdsway,Film Production
Crowdsway,Film
Rawy,Creative
Rawy,Design
Rawy,Art
iRehab,Child Care
iRehab,Professional Services
Marj3 ,Marketing
Marj3 ,Professional Services
iRehab,Social
SpicaTech Academy,Creative
SpicaTech Academy,Technology
SpicaTech Academy,Design
Recommendator ,Creative
Recommendator ,Art
Selsal,Professional Services
Zaagel,Travel
Zaagel,E-commerce
Azarir,Logistics
Azarir,Fashion
Azarir,E-commerce
Benaa,Technology
Benaa,Finance
Benaa,Professional Services
Ella,Social
Ella,Social Network
Heero,Sports
Heero,Social Network
Heero,Data
Heero,Mobile
Heero,Content
Heero,Video
Honest Granola,Food
Honest Granola,Social
Honest Granola,Sustainability
Jeerah,Rental
Jeerah,Professional Services
Mntad,Travel
Mntad,Transport
Mntad,Hospitality
Mntad,Marketing
Narrativa,Data
Narrativa,Software
Narrativa,Content
Narrativa,E-commerce
Narrativa,Sports
Narrativa,Technology
OfferHunt,Human Resources
OfferHunt,E-commerce
OfferHunt,Web
Riyash,Creative
Riyash,Design
Riyash,Textiles
Riyash,Web
Riyash,Technology
Skylar,Technology
Skylar,AI
Skylar,Marketing
Skylar,Data
Vynd,Lifestyle
Vynd,Social Network
Vynd,Content
Vynd,Crowdsourcing
Vynd,Marketing
You Positive,Marketing
You Positive,Professional Services
You Positive,Lifestyle
You Positive,Health
You Positive,Social
You Positive,E-commerce
EjarTech,Rental
EjarTech,Auto
EjarTech,Web
EjarTech,Marketing
EjarTech,E-commerce
Mechanice24,Auto
Mechanice25,Professional Services
Mechanice26,Logistics
Mechanice27,E-commerce
iRehab,E-commerce
Recommendator ,Software
